"icelines_rank","player","team","positions","expected_fantasy_points","fantasy_points_2025_26","nhl_expert_rank","quiet_slate_games"
"1","Connor McDavid","EDM","C","469.2","520.5","1","10"
"2","Nikita Kucherov","TBL","RW","465.6","460","3","8"
"3","Nathan MacKinnon","COL","C","458.6","466.2","2","17"
"4","Leon Draisaitl","EDM","C/LW","392.4","381.8","5","10"
"5","David Pastrnak","BOS","RW","387.4","393","6","14"
"6","Macklin Celebrini","SJS","C","382.2","435.8","4","17"
"7","Nick Suzuki","MTL","C","376.9","418.2","15","12"
"8","Andrei Vasilevskiy","TBL","G","368.9","353.1","13","8"
"9","Jason Robertson","DAL","LW/RW","362.1","408","9","12"
"10","Connor Hellebuyck","WPG","G","355.6","294","27","11"
"11","Ilya Sorokin","NYI","G","354.4","337.2","28","10"
"12","Wyatt Johnston","DAL","C/RW","350","409","16","12"
"13","Jake Oettinger","DAL","G","343.3","323.3","41","12"
"14","Juuse Saros","NSH","G","341","331.6","189","5"
"15","Cale Makar","COL","D","340.8","340.2","8","17"
"16","Martin Necas","COL","RW","340.4","380.5","14","17"
"17","Mark Scheifele","WPG","C","338.9","365.2","32","11"
"18","Filip Forsberg","NSH","LW","338.9","353.2","67","5"
"19","Tim Stützle","OTT","C/LW","337.3","379.8","50","11"
"20","Evan Bouchard","EDM","D","334.4","379.8","21","10"
"21","Jeremy Swayman","BOS","G","332","338.7","62","14"
"22","Igor Shesterkin","NYR","G","331.3","296.8","42","18"
"23","Matt Boldy","MIN","LW/RW","330","370.2","10","11"
"24","Karel Vejmelka","UTA","G","330","359.4","117","15"
"25","Logan Thompson","WSH","G","329.5","348.9","26","16"
"26","Mika Zibanejad","NYR","C/RW","327.9","378","66","18"
"27","Mikko Rantanen","DAL","LW/RW","324.9","309.2","23","12"
"28","Jack Eichel","VGK","C","324.1","333","22","10"
"29","Cole Caufield","MTL","LW/RW","323.5","365.5","19","12"
"30","Filip Gustavsson","MIN","G","321.8","304.2","","11"
"31","Kyle Connor","WPG","LW","319.5","324.5","30","11"
"32","Artemi Panarin","LAK","LW","316.9","284.5","46","13"
"33","Clayton Keller","UTA","LW/RW","313.6","307","43","15"
"34","Sidney Crosby","PIT","C","313.1","300.5","45","14"
"35","Sam Reinhart","FLA","C","312.5","286.8","37","10"
"36","Drake Batherson","OTT","LW/RW","312.1","342.8","72","11"
"37","Alex DeBrincat","DET","LW/RW","312.1","337.8","48","17"
"38","Kirill Kaprizov","MIN","LW","311.2","335.2","7","11"
"39","Mitch Marner","VGK","C/LW/RW","311.1","295","49","10"
"40","Tage Thompson","BUF","C/RW","309.5","348.8","31","10"
"41","William Nylander","TOR","C/RW","308.1","282.2","44","13"
"42","Jake Guentzel","TBL","LW/RW","307","311","35","8"
"43","Steven Stamkos","NSH","C/LW/RW","305.5","329","100","5"
"44","Lukas Dostal","ANA","G","305.4","306.6","171","15"
"45","Adrian Kempe","LAK","RW","301.6","321.2","47","13"
"46","Sergei Bobrovsky","TOR","G","300.9","262.2","118","13"
"47","Lucas Raymond","DET","RW","294.8","298","71","17"
"48","Quinn Hughes","MIN","D","293.6","296","12","11"
"49","Jesper Bratt","NJD","LW/RW","292.7","281.8","70","9"
"50","Alex Ovechkin","WSH","LW/RW","292.4","299","102","16"
"51","Zach Werenski","CBJ","D","288.4","315.2","11","10"
"52","Juraj Slafkovský","MTL","LW/RW","288.3","360.8","","12"
"53","Dylan Larkin","DET","C","288.2","296.2","68","17"
"54","Nico Hischier","NJD","C","287.4","300.5","97","9"
"55","Matthew Schaefer","NYI","D","286.1","279.2","40","10"
